%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
60.0, -41007.69502016247, -36058.415300657194, -27155.447263174923, -69365.28615537718, -25496.009051324017, -25648.917335142774, -49854.470772084096, -96559.80426785997, -187500.02235174447, -187500.02235174447, -44841.15330471436, -43478.32274178538, -75565.72712251272, -45951.409155298374, -85258.62816078999, -28900.850284200944, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750527680660003E9, 0.0, 2025-06-21 19:41:20.660
0.0, -21575.13309420742, -18982.733068791997, -14591.487001357915, -35724.14496232807, -13795.943712704626, -13865.479989705085, -26037.524764242742, -49498.45218639996, -93750.01117587223, -93750.01117587223, -22452.97550594515, -21770.442637257893, -37807.05932462923, -23006.49410563637, -42642.50160962363, -14480.979976770876, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750527680748482E9, 0.0, 2025-06-21 19:41:20.748
2.0, -43150.556761092754, -37963.230963138456, -29186.19265391739, -71454.63782008145, -27590.83689341985, -27721.34872929439, -52071.80852553946, -98999.07249201208, -187500.02235174447, -187500.02235174447, -46907.5720796075, -45537.54425496391, -77519.8507332624, -47991.45287173425, -87303.99159240624, -30957.79191944503, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750527680757495E9, 0.0, 2025-06-21 19:41:20.757
4.0, -43158.24576118538, -37974.25037315492, -29186.460874850858, -71465.7689888202, -27591.105114353315, -27701.075697073426, -52085.42073791275, -99007.18617524937, -187500.02235174447, -187500.02235174447, -46907.97441100769, -45545.0991445898, -77513.48048609264, -48006.31678179703, -87291.29580155562, -30968.69957073922, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750527680764529E9, 0.0, 2025-06-21 19:41:20.764
6.0, -43172.48382240341, -37983.03460872586, -29203.470552381346, -71467.62418361, -27603.666794737197, -27735.564438767964, -52086.8959530468, -99005.06275952612, -187500.02235174447, -187500.02235174447, -46936.450533443756, -45571.183630369145, -77543.47652715165, -48015.50334876816, -87314.47456055577, -30983.7646465021, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750527680772535E9, 0.0, 2025-06-21 19:41:20.772
8.0, -43168.01347351235, -37982.43111162557, -29190.215967919346, -71461.25393644023, -27595.262538822, -27713.592673968396, -52085.08546174592, -99005.8674223265, -187500.02235174447, -187500.02235174447, -46925.252309471645, -45550.150638836705, -77532.25595143509, -47995.8785171364, -87301.21997609377, -30963.78218695905, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750527680780564E9, 0.0, 2025-06-21 19:41:20.780
10.0, -43169.10870899066, -37978.63131506817, -29193.43461912091, -71456.42595963788, -27589.831064919363, -27736.3467498239, -52084.839592556906, -99007.92378281639, -187500.02235174447, -187500.02235174447, -46923.71003910423, -45548.183685324635, -77521.59416932991, -48006.24972656366, -87287.49600499822, -30971.98527717415, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.75052768078961E9, 0.0, 2025-06-21 19:41:20.789
12.0, -43169.8910200466, -37982.811091281306, -29192.40643887597, -71459.75636956173, -27614.194466375648, -27729.44006078721, -52088.751147836585, -99011.34359971805, -187500.02235174447, -187500.02235174447, -46925.63228912739, -45550.93294989264, -77534.96051251418, -47997.89017413738, -87314.18398787786, -30966.062064893493, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750527680796609E9, 0.0, 2025-06-21 19:41:20.796
14.0, -43177.53531665031, -37997.5185391329, -29192.182921431417, -71467.98181152127, -27580.68920143714, -27704.67432793073, -52082.31384543346, -99006.5156229157, -187500.02235174447, -187500.02235174447, -46915.596355866954, -45547.37902252424, -77520.58834082942, -48002.137005583885, -87288.7029991988, -30966.240878849138, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750527680804635E9, 0.0, 2025-06-21 19:41:20.804
16.0, -43158.71514781894, -37975.189146422046, -29186.147950428483, -71458.6611340834, -27598.771762701486, -27732.1446218663, -52069.036909227005, -98994.44568090983, -187500.02235174447, -187500.02235174447, -46934.17065550931, -45570.915409435685, -77541.66603585078, -48009.22250857622, -87307.09848488552, -30978.668448766286, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750527680812692E9, 0.0, 2025-06-21 19:41:20.812
18.0, -43153.35072914967, -37965.98022770646, -29176.424941590423, -71453.34141890304, -27579.906890381208, -27721.751060694583, -52067.06995571494, -98988.85774479601, -187500.02235174447, -187500.02235174447, -46901.24653592665, -45534.92910086264, -77513.07815469244, -47986.1778600428, -87289.03827536563, -30954.528564754557, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750527680820674E9, 0.0, 2025-06-21 19:41:20.820
20.0, -43169.06400550175, -37980.285344157855, -29185.231528905813, -71456.64947708244, -27600.068163879892, -27728.90361892028, -52075.764784308056, -98999.20660247882, -187500.02235174447, -187500.02235174447, -46915.50694888913, -45546.93198763514, -77517.19087567221, -48004.97567712971, -87286.49017649773, -30969.973620173172, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750527680828786E9, 0.0, 2025-06-21 19:41:20.828
22.0, -43160.32447341973, -37973.870393499186, -29181.319973626134, -71451.75444504672, -27595.32959405537, -27726.400223541288, -52073.30609241797, -98995.00447452122, -187500.02235174447, -187500.02235174447, -46910.790730809065, -45540.248816043, -77521.23654141862, -47984.83675537548, -87300.41531329339, -30955.109710110395, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750527680836777E9, 0.0, 2025-06-21 19:41:20.836
24.0, -43178.63055212862, -37999.306678689325, -29205.258691937768, -71481.14698900544, -27594.480227766067, -27734.91623817876, -52113.852156859895, -99026.18515803637, -187500.02235174447, -187500.02235174447, -46926.70517286124, -45556.16325809518, -77527.18210544373, -48013.9834301452, -87300.9070516714, -30978.780207488562, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.75052768084577E9, 0.0, 2025-06-21 19:41:20.845
26.0, -43161.330301920214, -37974.764463277395, -29193.792247032197, -71464.22671845279, -27612.696899497143, -27731.608179999374, -52114.12037779336, -99025.26873651371, -187500.02235174447, -187500.02235174447, -46927.71100136173, -45564.79103145493, -77534.58053285844, -48014.095188867475, -87313.3122698441, -30982.915280212794, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750527680852754E9, 0.0, 2025-06-21 19:41:20.852
28.0, -43174.42842417103, -37991.99765825244, -29199.737811057308, -71473.27917495718, -27616.250826865537, -27741.889982448814, -52133.901671636304, -99043.01602161123, -187500.02235174447, -187500.02235174447, -46927.219262983715, -45556.6549964732, -77534.62523634735, -48014.229299334205, -87319.30253735812, -30981.998858690127, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.75052768086081E9, 0.0, 2025-06-21 19:41:20.860
30.0, -43163.5878281102, -37979.57008833529, -29180.001220703274, -71450.86037526852, -27589.026402118972, -27721.10286010538, -52098.74237760811, -99018.89848934395, -187500.02235174447, -187500.02235174447, -46927.95687055074, -45553.88338016074, -77528.14323045532, -48019.906642425856, -87300.16944410438, -30985.888062225353, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750527680868814E9, 0.0, 2025-06-21 19:41:20.868
32.0, -43146.242874412885, -37955.85488746821, -29162.365694328037, -71434.58830530505, -27571.145006554725, -27713.749136179584, -52064.365394635846, -98991.69641634185, -187500.02235174447, -187500.02235174447, -46895.7703585351, -45523.574414679344, -77508.22782614564, -47967.35769121143, -87278.55530721608, -30938.435308746735, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.75052768087684E9, 0.0, 2025-06-21 19:41:20.876
34.0, -43166.44885140048, -37983.68280931507, -29178.749523013776, -71452.24618342474, -27583.37141077178, -27700.67336567323, -52073.864886029354, -98993.66336985391, -187500.02235174447, -187500.02235174447, -46915.79752156705, -45543.02043235546, -77517.5485035835, -47997.733711926194, -87279.91876362787, -30963.715131725687, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750527680884867E9, 0.0, 2025-06-21 19:41:20.884
36.0, -43153.35072914967, -37964.43795733905, -29168.40066533097, -71438.18693616235, -27597.60947198981, -27728.389528797812, -52057.68222304371, -98979.20179119133, -187500.02235174447, -187500.02235174447, -46898.899602758844, -45526.45778971408, -77503.60101504339, -47975.27020874861, -87272.60974319097, -30943.732672182643, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.75052768089292E9, 0.0, 2025-06-21 19:41:20.892
38.0, -43183.12325276414, -37995.90921353212, -29194.999241232785, -71468.38414292147, -27612.920416941695, -27730.043557887504, -52087.141822235804, -99007.18617524937, -187500.02235174447, -187500.02235174447, -46924.24648097116, -45546.17202832366, -77529.52903861154, -47992.45870023474, -87296.59316499153, -30961.301143324512, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750527680901949E9, 0.0, 2025-06-21 19:41:20.901
40.0, -43177.15533699457, -37988.13080646167, -29187.533758584712, -71460.3151631731, -27600.381088302267, -27727.00372064158, -52075.183638952214, -98998.33488444507, -187500.02235174447, -187500.02235174447, -46934.86355958743, -45563.22640934306, -77534.75934681408, -48015.615107490434, -87294.89443241293, -30982.110617412403, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.75052768090796E9, 0.0, 2025-06-21 19:41:20.907
42.0, -43161.57617110922, -37977.357265634215, -29173.07217992213, -71438.49986058472, -27578.83400664735, -27730.222371843145, -52055.80467650946, -98981.39226214794, -187500.02235174447, -187500.02235174447, -46914.85874829993, -45539.019470097955, -77524.298730409, -47980.76873788461, -87295.11794985748, -30952.09222460893, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750527680917021E9, 0.0, 2025-06-21 19:41:20.917
44.0, -43170.941552036, -37985.247431426935, -29186.326764384125, -71459.0634654836, -27593.02736437647, -27717.727746692628, -52076.5917988529, -98994.9150675434, -187500.02235174447, -187500.02235174447, -46913.13766397687, -45537.34308926381, -77514.03927970401, -47993.68804617978, -87279.71759792777, -30959.334189812445, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750527680925086E9, 0.0, 2025-06-21 19:41:20.925
46.0, -43153.507191360855, -37966.159041662104, -29165.651400762967, -71428.9556657023, -27588.422905018677, -27730.222371843145, -52048.31684211694, -98971.28927365414, -187500.02235174447, -187500.02235174447, -46910.9695447647, -45534.68323167363, -77515.60390181589, -47983.048615819054, -87284.34440903002, -30948.672407707265, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.7505276809331E9, 0.0, 2025-06-21 19:41:20.933
