%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
186.0, -43796.611582828955, -37337.98561549016, -29763.85113762035, -73233.41199557924, -27450.043255095872, -27439.29206601287, -52453.77748653621, -100773.7339465301, -187500.02235174447, -187500.02235174447, -48297.82823298314, -46771.00292098557, -77902.95963322636, -48848.463457639635, -88542.65821488599, -31495.016097428335, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750529175274749E9, 0.0, 2025-06-21 20:06:15.274
0.0, -22248.144119756715, -19050.52590972494, -15177.661499698343, -36948.26059916742, -14028.804186440015, -14462.38332538406, -26592.049192434453, -50774.51327735344, -93750.01117587223, -93750.01117587223, -24128.551677292788, -23348.922830691678, -38939.175181290535, -24394.425677588664, -44281.8008997203, -15715.265657337388, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.7505291753562E9, 0.0, 2025-06-21 20:06:15.356
2.0, -44553.62046404129, -38155.52302068747, -30396.852540594646, -73951.64060016163, -28098.824989655615, -28990.7937038891, -53232.44520812574, -101589.23734298199, -187500.02235174447, -187500.02235174447, -49029.4231807498, -47477.340397517735, -78466.8717940893, -49495.21118345395, -89266.20653464872, -32208.215559508273, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.75052917536319E9, 0.0, 2025-06-21 20:06:15.363
4.0, -44549.463039572605, -38139.16154374618, -30381.385133431573, -73941.38114945665, -28117.220475342332, -28929.572275826013, -53242.01175475261, -101587.40449993665, -187500.02235174447, -187500.02235174447, -49070.19276263628, -47522.17799689508, -78495.95141362565, -49545.323794522745, -89265.55833405952, -32260.5633450226, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750529175369209E9, 0.0, 2025-06-21 20:06:15.369
6.0, -44521.41160028119, -38122.88947378272, -30369.7175228259, -73918.58237011223, -28052.355712933033, -28946.649008589866, -53200.05753041, -101564.18103744759, -187500.02235174447, -187500.02235174447, -49035.77107617511, -47490.17029883508, -78477.53357619447, -49499.79329106728, -89276.60009582044, -32212.84237061052, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750529175378239E9, 0.0, 2025-06-21 20:06:15.378
8.0, -44557.353205365325, -38143.58718914833, -30395.77965686079, -73953.96518158498, -28114.69472821888, -28947.654837090355, -53243.039934997556, -101589.19263949308, -187500.02235174447, -187500.02235174447, -49042.23073032269, -47492.20430758051, -78473.64437265926, -49516.37828545312, -89254.29305485405, -32228.063908584587, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.75052917538627E9, 0.0, 2025-06-21 20:06:15.386
10.0, -44523.46796077108, -38104.96337472956, -30375.886604295567, -73908.23351242942, -28097.439181499387, -28979.126093283427, -53191.0050739056, -101549.49594134044, -187500.02235174447, -187500.02235174447, -49068.15875389084, -47509.16928162209, -78499.19241657168, -49538.6406229306, -89290.43582563828, -32249.208658839307, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750529175393291E9, 0.0, 2025-06-21 20:06:15.393
12.0, -44520.09284735833, -38119.000270247496, -30363.19081344495, -73914.29083517681, -28064.872689828004, -28930.443993859768, -53210.49579507063, -101574.06050849683, -187500.02235174447, -187500.02235174447, -49005.03742754906, -47445.53386515783, -78440.80966005441, -49480.81666002473, -89257.08702291096, -32189.976536032744, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750529175401274E9, 0.0, 2025-06-21 20:06:15.401
14.0, -44541.57287377988, -38126.55515987339, -30391.085790525176, -73934.02742553085, -28087.760876150238, -28924.833706001486, -53215.8602137399, -101586.08574701379, -187500.02235174447, -187500.02235174447, -49060.31329158703, -47497.23345008295, -78480.86398611832, -49536.60661418517, -89261.04328167955, -32250.393301295437, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750529175410354E9, 0.0, 2025-06-21 20:06:15.410
16.0, -44524.76436194949, -38129.57264537486, -30380.24519446435, -73922.40451841409, -28056.714303101817, -29005.478799996235, -53213.24505963863, -101568.91960727211, -187500.02235174447, -187500.02235174447, -49035.23463430818, -47478.32387427377, -78472.1691575252, -49502.92253529102, -89279.10349119944, -32215.725745645257, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750529175417357E9, 0.0, 2025-06-21 20:06:15.417
