%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
0.0, -44591.618429615315, -38734.23203637982, -30521.105888021695, -73478.02948689813, -28390.157626886088, -28416.53268534335, -53143.44056170471, -100938.71217235473, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 193.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.5, 0.5, 128.0, 0.5, 1.75052846165164E9, 0.0, 2025-06-21 19:54:21.651
96.0, -44611.69029613618, -38759.10952795858, -30533.064071305285, -73502.28112963213, -28382.71449598247, -28359.356923026673, -53160.18201830173, -100963.90258835585, -187500.02235174447, -187500.02235174447, -48755.10022104981, -47365.24639907436, -78635.13572634885, -49449.88184569858, -89069.17590727519, -32276.05310393013, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750528461651751E9, 0.0, 2025-06-21 19:54:21.651
0.0, -21983.007727027863, -19058.05844760638, -14936.441473536668, -36388.55056626208, -13875.337109009875, -14390.343653004606, -26336.099366676735, -50252.018898966184, -93750.01117587223, -93750.01117587223, -24370.91164242168, -23675.325354972527, -39317.45610445215, -24715.66494890034, -44541.88579820225, -16129.197612905218, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750528461748246E9, 0.0, 2025-06-21 19:54:21.748
2.0, -43928.173950692886, -38070.76520571294, -29853.280467186032, -72752.24599268986, -27749.981313941636, -28759.36374179885, -52596.873354539086, -100424.86791907166, -187500.02235174447, -187500.02235174447, -48126.77033266668, -46652.49397188354, -77930.31816843965, -48813.55003280044, -88574.48709899034, -31668.622096612704, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750528461754339E9, 0.0, 2025-06-21 19:54:21.754
4.0, -43936.06411648561, -38081.29287735139, -29858.063740499467, -72755.95638226943, -27753.937572710227, -28777.625117018833, -52578.611979319096, -100435.48499768795, -187500.02235174447, -187500.02235174447, -48109.872413858466, -46641.54161710043, -77927.3453864271, -48774.6132939593, -88580.0079798708, -31630.914703716604, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750528461761248E9, 0.0, 2025-06-21 19:54:21.761
6.0, -43961.656863886936, -38099.95658397157, -29882.96358382268, -72778.68810638048, -27748.39434008531, -28770.092579137396, -52613.011314035815, -100438.32366923377, -187500.02235174447, -187500.02235174447, -48112.37580923746, -46653.49980038402, -77925.93722652641, -48801.79301521695, -88568.38507275404, -31657.870907529705, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750528461769312E9, 0.0, 2025-06-21 19:54:21.769
8.0, -43929.291537915655, -38078.34244708329, -29849.681836328728, -72744.84756527515, -27725.349691551888, -28779.793236231, -52576.98030197386, -100426.209023739, -187500.02235174447, -187500.02235174447, -48128.044382100634, -46659.62417836478, -77942.92455231244, -48803.312933839916, -88590.60270674262, -31661.111910475724, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750528461776294E9, 0.0, 2025-06-21 19:54:21.776
10.0, -43968.34003547908, -38112.51826435546, -29884.707019890193, -72787.74056288488, -27776.892814265826, -28767.835052947412, -52622.75667461833, -100462.53060847886, -187500.02235174447, -187500.02235174447, -48099.12122477547, -46639.32879439936, -77922.4950578803, -48780.80472717342, -88571.73783442234, -31639.989511965457, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750528461784339E9, 0.0, 2025-06-21 19:54:21.784
12.0, -43958.21469524082, -38107.69028755311, -29880.370781465863, -72777.12348426861, -27761.44775884721, -28799.641585307312, -52626.489415942364, -100476.72396620798, -187500.02235174447, -187500.02235174447, -48160.94614993884, -46696.59396369386, -77968.94198285842, -48847.23411169459, -88607.59003252865, -31706.508303464452, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750528461792379E9, 0.0, 2025-06-21 19:54:21.792
14.0, -43908.325601616576, -38058.27058056243, -29830.57109481944, -72724.32866386518, -27708.563531465952, -28787.21401539016, -52602.95302903093, -100417.55889863479, -187500.02235174447, -187500.02235174447, -48076.00952100867, -46606.29291609442, -77895.51650232275, -48751.54629368142, -88563.3559302516, -31609.68054648406, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750528461801405E9, 0.0, 2025-06-21 19:54:21.801
