%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
112.0, -44264.83592567872, -38192.29164031645, -30166.897793638444, -73335.62652297337, -28166.975458499845, -27993.838845949038, -52883.57918066731, -100968.14941980237, -187500.02235174447, -187500.02235174447, -48477.40214793708, -47072.37149147648, -78557.99985623358, -49170.57444698506, -88781.7548253244, -31974.684533439224, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750528715985662E9, 0.0, 2025-06-21 19:58:35.985
0.0, -22004.01836681585, -18974.440571599076, -15018.181803009726, -36573.153623718455, -13854.281765732976, -14290.990148900766, -26415.1351350707, -50468.3614335491, -93750.01117587223, -93750.01117587223, -24254.23553636498, -23549.7085511337, -39288.46589189362, -24601.11225856689, -44391.883241162686, -16003.491402088572, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.75052871606415E9, 0.0, 2025-06-21 19:58:36.064
2.0, -43988.925992122415, -37934.9560064025, -30007.03811729409, -73132.91855250818, -27736.637322501818, -28563.83068130382, -52829.577366063284, -100928.49742513864, -187500.02235174447, -187500.02235174447, -48336.27323344627, -46914.29995468855, -78227.95399760653, -48974.63905508984, -88795.43409293106, -31827.945331090134, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750528716071126E9, 0.0, 2025-06-21 19:58:36.071
4.0, -44021.00074541578, -37963.856811983205, -30039.157574076366, -73162.51226216702, -27714.598502468885, -28577.331134954828, -52863.30614844634, -100950.31272772703, -187500.02235174447, -187500.02235174447, -48364.30232099323, -46949.81687662803, -78254.79844269734, -49007.87609909488, -88818.03170657536, -31860.936505906167, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750528716078158E9, 0.0, 2025-06-21 19:58:36.078
6.0, -44007.81321618715, -37948.52351528687, -30018.213989521744, -73143.37916891328, -27701.925063362727, -28597.8500363648, -52844.73184880398, -100940.20973923324, -187500.02235174447, -187500.02235174447, -48341.74941083782, -46924.09001875997, -78238.7722419229, -48975.197848701224, -88806.8111308588, -31830.53813344695, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.75052871608718E9, 0.0, 2025-06-21 19:58:36.087
8.0, -44008.30495456517, -37957.62067528018, -30031.021539094632, -73153.4151021737, -27694.660746414753, -28552.07366372033, -52849.80569479534, -100945.84237883597, -187500.02235174447, -187500.02235174447, -48355.607492400115, -46937.702231133255, -78244.85191641473, -49004.94802057124, -88800.35147671122, -31858.611924482815, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750528716094228E9, 0.0, 2025-06-21 19:58:36.094
10.0, -44002.87348066253, -37942.7567652174, -30021.56675119004, -73138.55119211093, -27698.795819138984, -28545.681064806115, -52813.34999958873, -100904.44694810474, -187500.02235174447, -187500.02235174447, -48342.442314915934, -46922.19012048127, -78234.65952094311, -48975.197848701224, -88806.4087994586, -31828.593531679337, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750528716102267E9, 0.0, 2025-06-21 19:58:36.102
12.0, -44035.88700722301, -37988.77900705088, -30047.092443358, -73187.1215328123, -27732.792822455507, -28615.150286573207, -52890.88820110419, -100982.07455659802, -187500.02235174447, -187500.02235174447, -48361.687166891956, -46953.8848941189, -78259.89464043315, -49004.83626184896, -88818.65755542011, -31861.62940998428, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.75052871611029E9, 0.0, 2025-06-21 19:58:36.110
14.0, -44019.72669598183, -37952.747994988924, -30034.8883908854, -73159.22655573208, -27739.20777311418, -28526.41386108564, -52839.94857549055, -100941.34967820045, -187500.02235174447, -187500.02235174447, -48357.216818000896, -46941.63613815739, -78249.54578275034, -49002.35521821442, -88805.87235759168, -31860.0200843835, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750528716119307E9, 0.0, 2025-06-21 19:58:36.119
16.0, -44015.81514070215, -37955.09492815673, -30035.424832752327, -73154.71150335211, -27728.277770075532, -28574.31364945336, -52824.23529913847, -100932.43133216279, -187500.02235174447, -187500.02235174447, -48358.267349990296, -46942.61961491342, -78257.1677276096, -48994.777976844074, -88827.62060494669, -31851.213497068107, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750528716125354E9, 0.0, 2025-06-21 19:58:36.125
