%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
0.0, 21315.852858525857, 18262.47045546418, 48102.09400678802, 34243.25248518616, 43179.792842840296, 1923.9040522461, 8042.82820735314, 8477.077898630845, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747691762335534E9, 0.0, 2025-05-19 23:56:02.335
22.0, 21304.40876536474, 18248.70178087971, 48089.04058802612, 34232.90362750335, 43172.1932497255, 1925.8263022692565, 8016.564907618154, 8467.936035148625, 0.0, 0.0, 6127.2837075333255, -27603.93501567066, 18679.17402734447, 5682.953379506276, -6451.920444002205, -30719.522323551457, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747691762336216E9, 0.0, 2025-05-19 23:56:02.336
0.0, 10755.547673171483, 9225.950744861453, 24081.14362730308, 17118.217601563647, 22248.904079068194, 1590.3713214840081, 4322.402694511735, 4143.253462702449, 0.0, 0.0, 3054.3211763287995, -13810.695864045128, 9326.46653967697, 2826.6910107959525, -3239.3042134409206, -15376.592025350576, 0.056, -0.004, 1.03, 192.0, 0.5, 96.0, 127.5, 112.0, 16.0, 24.0, 0.0, 0.0, 0.0, 1.747691762452233E9, 0.0, 2025-05-19 23:56:02.452
2.0, 21520.21485808073, 18462.74208578373, 48176.86059199102, 34252.61786611293, 44512.694419943626, 3178.529820266941, 8666.71009858967, 8303.427195957565, 0.0, 0.0, 6045.856302482642, -27462.895508157675, 18913.912047614103, 5886.890695916498, -5963.199551486916, -30633.043424253876, 0.056, -0.004, 1.03, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747691762459286E9, 0.0, 2025-05-19 23:56:02.459
4.0, 21523.54526800457, 18466.877158507963, 48180.34746412605, 34269.985171554705, 44517.56710023488, 3188.1187186382676, 8689.017139556068, 8291.759585351896, 0.0, 0.0, 6068.67743357151, -27440.789632891374, 18941.583507249776, 5918.116082920562, -5930.36483888207, -30602.130961672185, 0.056, -0.004, 1.03, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747691762466314E9, 0.0, 2025-05-19 23:56:02.466
6.0, 21512.63761671038, 18452.013248445182, 48176.34650186855, 34247.67813058831, 44500.110387815286, 3167.175134083645, 8654.640156583806, 8299.493288933432, 0.0, 0.0, 6056.741602032376, -27449.640923695675, 18932.35223678973, 5903.319228091148, -5948.626214102056, -30613.9773862335, 0.056, -0.004, 1.03, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747691762474332E9, 0.0, 2025-05-19 23:56:02.474
8.0, 21524.9310761608, 18466.27366140767, 48177.86642049151, 34263.74903485168, 44515.555443233905, 3176.3840527992315, 8697.24258151562, 8305.662370403095, 0.0, 0.0, 6057.76978227732, -27452.23372605249, 18920.528163972875, 5903.296876346693, -5942.635946588033, -30617.15133394615, 0.062, -0.006, 1.032, 192.0, 0.5, 120.0, 127.5, 104.0, 16.0, 32.0, 0.0, 0.0, 0.0, 1.747691762483357E9, 0.0, 2025-05-19 23:56:02.483
10.0, 21518.627884224403, 18457.690591536833, 48176.05592919063, 34260.53038365011, 44500.71388491558, 3195.494794308519, 8656.920034518247, 8299.225067999967, 0.0, 0.0, 6060.787267778786, -27449.797385906862, 18940.756492704928, 5919.770112010255, -5933.6952488059105, -30597.325336614293, 0.062, -0.006, 1.032, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747691762491438E9, 0.0, 2025-05-19 23:56:02.491
12.0, 21527.34506456197, 18468.978222486763, 48184.68370255038, 34261.78208133961, 44507.84409139682, 3170.4161370296642, 8675.874313816346, 8314.02192282938, 0.0, 0.0, 6052.539474074778, -27448.702150428555, 18921.377530262176, 5900.391149567503, -5950.570815869667, -30617.44190662407, 0.062, -0.006, 1.032, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747691762498456E9, 0.0, 2025-05-19 23:56:02.498
14.0, 21528.26148608464, 18471.07928646556, 48182.91791473841, 34275.12607277943, 44510.7051146871, 3192.1420326402226, 8662.61972935435, 8295.984065053948, 0.0, 0.0, 6067.604549837655, -27439.940266602072, 18938.655428726128, 5926.6991527914, -5924.061646945674, -30591.491531311458, 0.062, -0.006, 1.032, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747691762506462E9, 0.0, 2025-05-19 23:56:02.506
