%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
0.0, 22553.31248680502, 17412.321855106577, 47618.491663753, 30045.8407456685, 34820.17336132209, -183.99956035608773, 8445.04784882639, 488.0056366927191, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747687870546208E9, 0.0, 2025-05-19 22:51:10.546
160.0, 22560.375638052898, 17419.34030286554, 47626.47123652354, 30058.692998730305, 34848.24715235796, -152.28243497400703, 8493.618189527773, 493.86179374000955, 0.0, 0.0, 17015.08665264686, -11761.42087714921, 7204.838955979223, -1293.1825272062454, -26736.821441271477, -33540.491287766854, 0.062, -0.004, 1.034, 192.0, 0.5, 120.0, 127.5, 112.0, 16.0, 40.0, 0.0, 0.0, 0.0, 1.747687870546649E9, 0.0, 2025-05-19 22:51:10.546
0.0, 11434.727780190442, 8753.993660687645, 23883.19657840688, 15093.887161479852, 17526.449862295372, -122.28639391498494, 4195.511841238957, 284.2471342381399, 0.0, 0.0, 8501.798927998416, -5882.129774347517, 3605.8728225079567, -646.5689118586674, -13376.714393700886, -16761.930794946053, 0.056, -0.004, 1.032, 192.0, 0.5, 96.0, 127.5, 112.0, 16.0, 32.0, 0.0, 0.0, 0.0, 1.747687870627566E9, 0.0, 2025-05-19 22:51:10.627
2.0, 22882.28546169823, 17521.13014711501, 47775.289151106976, 30195.664488752427, 35047.71411987711, -252.10532571140837, 8438.297622000888, 575.7362336797993, 0.0, 0.0, 16890.878008708718, -12121.194555901833, 7403.836536864822, -1016.8032070163736, -26620.525314870516, -33543.50877326832, 0.056, -0.004, 1.032, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747687870634582E9, 0.0, 2025-05-19 22:51:10.634
4.0, 22887.940453045423, 17527.120414629033, 47783.93927621118, 30207.39915459146, 35072.681018433694, -224.54562479801476, 8443.349116247788, 559.9782538388079, 0.0, 0.0, 16904.31140712636, -12106.576515028062, 7427.305868542894, -980.1016426207594, -26586.617718531816, -33511.478723463864, 0.056, -0.004, 1.032, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747687870641602E9, 0.0, 2025-05-19 22:51:10.641
6.0, 22882.82190356516, 17524.304094827665, 47778.79837498646, 30205.029869679198, 35051.17864026769, -239.633052305347, 8402.244258194478, 575.6244749575228, 0.0, 0.0, 16899.259912879457, -12109.146965640422, 7430.658630211191, -993.9597241830497, -26607.74011704208, -33515.14440955453, 0.056, -0.004, 1.032, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747687870649681E9, 0.0, 2025-05-19 22:51:10.649
8.0, 22898.088145028134, 17540.37499909103, 47792.8799739933, 30218.68678554139, 35062.488622962075, -235.1627034142856, 8467.801924681893, 578.8878296479976, 0.0, 0.0, 16906.09954668278, -12097.412299801386, 7423.70723768559, -991.5457357818766, -26596.49718958106, -33521.29113927974, 0.06, -0.006, 1.03, 192.0, 0.5, 112.0, 127.5, 104.0, 16.0, 24.0, 0.0, 0.0, 0.0, 1.747687870657651E9, 0.0, 2025-05-19 22:51:10.657
10.0, 22879.53619713023, 17517.889144168992, 47774.64095051777, 30197.474980053306, 35056.051320558945, -224.3668108423723, 8402.71364482804, 567.197867297872, 0.0, 0.0, 16908.82645950633, -12101.323855081066, 7443.7791042064555, -972.0773663613041, -26585.611890031327, -33496.39129595653, 0.06, -0.006, 1.03, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747687870665683E9, 0.0, 2025-05-19 22:51:10.665
12.0, 22883.492455898817, 17523.1865076049, 47773.948046439655, 30194.233977107288, 35044.96485530912, -260.33076767096134, 8429.915717830148, 576.1832685689054, 0.0, 0.0, 16886.094735395283, -12125.262573392698, 7403.478908953537, -1016.2667651494462, -26620.16768695923, -33544.626360491086, 0.06, -0.006, 1.03, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747687870673725E9, 0.0, 2025-05-19 22:51:10.673
14.0, 22884.67709835495, 17525.354626817065, 47775.89264820727, 30199.35252658755, 35067.60717244234, -227.98779344413205, 8449.562901206364, 562.3475387510704, 0.0, 0.0, 16894.498991310476, -12112.96911394228, 7421.449711495604, -980.2357530874913, -26586.036573175978, -33515.0102990878, 0.06, -0.006, 1.03, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747687870683764E9, 0.0, 2025-05-19 22:51:10.683
