%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
0.0, 20499.030709151117, 16815.373815938692, 47342.64878543005, 28728.87596236181, 32988.78317937651, -1212.135101811302, 9518.378617570235, -106.70722802963591, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747687452889851E9, 0.0, 2025-05-19 22:44:12.889
92.0, 20499.00835740666, 16807.48365014597, 47343.14052380807, 28717.34246222287, 32996.941566102694, -1214.9514216126706, 9447.948270791563, -102.5498035609488, 0.0, 0.0, 18601.278197917723, -8336.083094606769, 6178.670368036076, -3558.3977172848845, -27703.44498198569, -32992.605327678364, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74768745289027E9, 0.0, 2025-05-19 22:44:12.890
0.0, 10404.20060207851, 8425.221851494534, 23739.31839934807, 14470.765229554801, 16668.791075800786, -382.594809841491, 4669.860562069483, -31.6500701487148, 0.0, 0.0, 9301.343178909205, -4169.092079292784, 3081.4114906086315, -1793.526326838294, -13853.79002735496, -16515.323998370648, 0.031, -0.003, 0.517, 192.0, 0.5, 120.0, 127.5, 104.0, 16.0, 40.0, 0.0, 0.0, 0.0, 1.747687452972641E9, 0.0, 2025-05-19 22:44:12.972
2.0, 20815.866686805093, 16860.211415316036, 47482.6601126981, 28950.739377825186, 33353.16131748692, -768.2965121622697, 9385.47514503898, -79.59456200534845, 0.0, 0.0, 18400.537180964613, -8771.0703934515, 6303.638971285698, -3233.4480563936304, -27317.296244775804, -33071.52933735005, 0.031, -0.003, 0.517, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747687452979478E9, 0.0, 2025-05-19 22:44:12.979
4.0, 20803.416765143487, 16844.85576687524, 47470.50076371441, 28938.848249774965, 33347.618084862006, -772.5209918643227, 9324.812510587277, -85.20484986363053, 0.0, 0.0, 18394.479858217222, -8775.473687109195, 6312.624372556731, -3221.3557626433094, -27320.291378532813, -33053.714997019175, 0.031, -0.003, 0.517, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74768745298653E9, 0.0, 2025-05-19 22:44:12.986
6.0, 20813.340939681642, 16852.924746623605, 47474.948760861014, 28943.318598666025, 33341.381948158974, -792.6375618740991, 9372.175857088072, -70.49740201203848, 0.0, 0.0, 18388.087259303007, -8781.016919734111, 6293.379520580712, -3257.967920061102, -27344.31950382227, -33091.35533468191, 0.031, -0.003, 0.517, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747687452994581E9, 0.0, 2025-05-19 22:44:12.994
8.0, 20806.031919244757, 16848.72261866601, 47470.92544685906, 28940.97166549822, 33351.037901763666, -764.2284946714037, 9371.929987899064, -88.08822489836514, 0.0, 0.0, 18396.40210824038, -8770.82452426249, 6309.226907399525, -3219.3441056423317, -27311.50714296188, -33057.11246217638, 0.062, -0.006, 1.032, 192.0, 0.5, 120.0, 127.5, 104.0, 16.0, 32.0, 0.0, 0.0, 0.0, 1.747687453002574E9, 0.0, 2025-05-19 22:44:13.002
10.0, 20809.63055010206, 16849.795502399862, 47468.84673462471, 28934.646121817368, 33330.92133175389, -765.0331574717949, 9329.819301345266, -79.68396898316968, 0.0, 0.0, 18380.73353537721, -8784.727309313692, 6299.995636939483, -3252.558797902918, -27349.102777135704, -33082.392285155336, 0.062, -0.006, 1.032, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747687453011627E9, 0.0, 2025-05-19 22:44:13.011
12.0, 20820.672311862985, 16860.077304849303, 47482.59305746473, 28947.565430112536, 33355.88823031047, -773.3033029202585, 9378.724918213478, -84.24372485205232, 0.0, 0.0, 18400.40307049788, -8769.416364361807, 6307.125843420726, -3238.231329707066, -27318.726756420943, -33080.917070021285, 0.062, -0.006, 1.032, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747687453018625E9, 0.0, 2025-05-19 22:44:13.018
14.0, 20810.323454180176, 16851.494234978465, 47474.38996724963, 28937.194220685273, 33347.88630579547, -761.0768987032055, 9329.238155989427, -83.97550391858863, 0.0, 0.0, 18397.11736406295, -8777.105364454432, 6314.077235946326, -3221.914556254692, -27317.78798315382, -33058.90060173281, 0.062, -0.006, 1.032, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747687453026692E9, 0.0, 2025-05-19 22:44:13.026
16.0, 20816.939570538947, 16866.87223516372, 47480.3578830192, 28946.179621956304, 33334.49761086674, -777.4383756444903, 9373.136982099652, -66.85406766582342, 0.0, 0.0, 18391.708241904766, -8776.59127433196, 6299.950933450572, -3258.347899716842, -27344.207745099993, -33093.29993644952, 0.062, -0.006, 1.032, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747687453034709E9, 0.0, 2025-05-19 22:44:13.034
18.0, 20810.278750691265, 16852.85769139024, 47478.033301595846, 28945.576124856012, 33354.234201220774, -762.9544452374513, 9370.253607064917, -83.61787600730372, 0.0, 0.0, 18403.398204254892, -8764.476628837185, 6316.893555747695, -3215.2313846625552, -27308.80258188279, -33053.31266561898, 0.062, -0.004, 1.03, 192.0, 0.5, 120.0, 127.5, 112.0, 16.0, 24.0, 0.0, 0.0, 0.0, 1.747687453042785E9, 0.0, 2025-05-19 22:44:13.042
20.0, 20806.948340767427, 16848.76732215492, 47477.58626670674, 28938.445918374768, 33337.42568939039, -769.4588028739456, 9322.487929163924, -71.81615493490159, 0.0, 0.0, 18385.136829034906, -8784.16851570231, 6299.660360772653, -3245.8085710774153, -27343.000750899406, -33077.005514741606, 0.062, -0.004, 1.03, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747687453050771E9, 0.0, 2025-05-19 22:44:13.050
22.0, 20822.77337584178, 16862.021906616916, 47494.037150625845, 28958.718950595732, 33360.827965835095, -761.3004161477586, 9393.611180020713, -70.54210550094909, 0.0, 0.0, 18402.25826528767, -8765.661271293315, 6308.601058554776, -3227.770713301982, -27315.061070330274, -33066.52254659207, 0.062, -0.004, 1.03, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747687453058781E9, 0.0, 2025-05-19 22:44:13.058
24.0, 20806.568361111684, 16845.369856997713, 47484.13532783215, 28942.804508543555, 33348.35569242903, -756.8524190011525, 9324.343123953715, -88.98229467657741, 0.0, 0.0, 18409.433175257825, -8768.276425394586, 6324.291983162401, -3207.229460147555, -27306.12037254815, -33041.71211024668, 0.062, -0.004, 1.03, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747687453068819E9, 0.0, 2025-05-19 22:44:13.068
26.0, 20817.341901939144, 16861.641926961176, 47484.939990632534, 28950.605267358456, 33334.56466610011, -774.3314831652026, 9364.531560484358, -67.4128612772061, 0.0, 0.0, 18400.939512364806, -8776.278349909586, 6304.421282341634, -3252.6482048807393, -27339.98326539794, -33087.26496544659, 0.062, -0.004, 1.03, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747687453075869E9, 0.0, 2025-05-19 22:44:13.075
28.0, 20822.63926537505, 16863.698287451065, 47489.991484879436, 28955.299133694072, 33357.87753556699, -755.8465905006636, 9372.734650699455, -82.56734401790429, 0.0, 0.0, 18412.11538459246, -8756.944090955745, 6324.940183751605, -3206.782425258449, -27303.661680658064, -33046.83065972694, 0.068, -0.008, 1.03, 192.0, 1.0, 16.0, 127.5, 96.0, 16.0, 24.0, 0.0, 0.0, 0.0, 1.747687453082888E9, 0.0, 2025-05-19 22:44:13.082
30.0, 20815.55376238272, 16857.57390947031, 47482.16837432008, 28944.01150274414, 33336.2186951898, -772.6998058199651, 9333.015600802375, -69.9609601451111, 0.0, 0.0, 18396.469163473746, -8775.607797575927, 6311.707951034064, -3238.0525157514235, -27336.541096751822, -33070.67997106075, 0.068, -0.008, 1.03, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747687453090851E9, 0.0, 2025-05-19 22:44:13.090
32.0, 20824.717977609394, 16865.553482240855, 47495.087682615245, 28960.663552363345, 33357.74342510026, -780.8581925461523, 9395.511078299412, -61.154372829720124, 0.0, 0.0, 18404.269922288648, -8762.621434047394, 6311.238564400503, -3222.4509981216193, -27308.17673303804, -33062.387473867835, 0.068, -0.008, 1.03, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747687453098924E9, 0.0, 2025-05-19 22:44:13.098
34.0, 20809.898771035525, 16851.71775242302, 47485.431729010554, 28950.515860380634, 33342.5218871262, -766.86600051713, 9349.332374254749, -64.70830019811395, 0.0, 0.0, 18398.77139315264, -8769.706937039726, 6318.882861004217, -3204.4578438350973, -27305.606282425677, -33038.8510869564, 0.068, -0.008, 1.03, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747687453106946E9, 0.0, 2025-05-19 22:44:13.106
36.0, 20818.615951373096, 16864.77117118492, 47491.1090721022, 28958.383674428904, 33342.49953538174, -778.444204144979, 9374.254569322417, -50.17966630216436, 0.0, 0.0, 18398.033785585616, -8769.125791683888, 6307.282305631913, -3235.236195950055, -27325.83461115773, -33069.76354953808, 0.068, -0.008, 1.03, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747687453114984E9, 0.0, 2025-05-19 22:44:13.114
38.0, 20816.671349605484, 16862.603051972754, 47487.84571741173, 28961.11058725245, 33357.050521022145, -749.2304741418927, 9371.192380332039, -70.87738166777869, 0.0, 0.0, 18406.21452405626, -8756.653518277826, 6321.609773827765, -3195.4724425640634, -27293.06695378625, -33036.034767155026, 0.062, -0.01, 1.032, 192.0, 0.5, 120.0, 127.5, 88.0, 16.0, 32.0, 0.0, 0.0, 0.0, 1.747687453123002E9, 0.0, 2025-05-19 22:44:13.123
40.0, 20813.3632914261, 16854.10938907974, 47482.54835397582, 28949.912363280342, 33333.80470678863, -771.4704598749232, 9339.139978783129, -62.04844260793241, 0.0, 0.0, 18391.708241904766, -8773.283216152575, 6310.679770789119, -3226.071980723379, -27328.91915189256, -33058.56532556598, 0.062, -0.01, 1.032, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74768745313E9, 0.0, 2025-05-19 22:44:13.130
42.0, 20820.962884540902, 16861.016078116427, 47487.44338601153, 28958.897764551377, 33347.99806451775, -775.1361459655936, 9395.019339921397, -72.35259680182897, 0.0, 0.0, 18401.543009465102, -8764.297814881542, 6311.506785333966, -3218.919422497681, -27313.11646856266, -33060.979313967146, 0.062, -0.01, 1.032, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747687453139089E9, 0.0, 2025-05-19 22:44:13.139
44.0, 20809.69760533543, 16852.410656501135, 47476.714548672986, 28948.77242431312, 33340.621988847495, -761.8815615035966, 9335.004906058897, -71.57028574589322, 0.0, 0.0, 18397.98908209671, -8770.802172518037, 6319.106378448771, -3202.937925212136, -27311.127163306137, -33039.56634277896, 0.062, -0.01, 1.032, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747687453147107E9, 0.0, 2025-05-19 22:44:13.147
46.0, 20818.12421299508, 16860.971374627516, 47484.53765923234, 28955.58970637199, 33339.280884180174, -770.5987418411663, 9371.795877432332, -53.375965759273264, 0.0, 0.0, 18390.657709915366, -8773.238512663665, 6303.258991629958, -3241.78525707546, -27337.524573507857, -33075.97733449666, 0.062, -0.01, 1.032, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747687453154145E9, 0.0, 2025-05-19 22:44:13.154
48.0, 20810.748137324827, 16855.629307702697, 47480.335531274744, 28953.645104604377, 33356.60348613304, -735.6853170019766, 9371.706470454512, -67.83754442185693, 0.0, 0.0, 18401.811230398565, -8765.013070704112, 6317.944087737094, -3198.6687420211724, -27295.078610787226, -33038.58286602293, 0.062, 0.002, 1.03, 192.0, 0.5, 120.0, 0.0, 8.0, 16.0, 24.0, 0.0, 0.0, 0.0, 1.747687453162117E9, 0.0, 2025-05-19 22:44:13.162
50.0, 20802.03095698726, 16846.062761075827, 47466.52215320136, 28942.178659698806, 33325.087526451054, -779.5841431121997, 9336.301307237305, -53.42066924818388, 0.0, 0.0, 18380.577073166023, -8786.090765725467, 6298.989808438994, -3237.78429481796, -27339.35741655319, -33066.20962216969, 0.062, 0.002, 1.03, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747687453171113E9, 0.0, 2025-05-19 22:44:13.171
52.0, 20823.68979736445, 16863.050086861862, 47484.71647318798, 28962.54109889759, 33345.9193522834, -761.1216021921161, 9395.980464932974, -56.30404428291849, 0.0, 0.0, 18394.859837872966, -8765.750678271137, 6307.8410992432955, -3227.1895679461445, -27318.123259320648, -33062.76745352357, 0.062, 0.002, 1.03, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747687453179205E9, 0.0, 2025-05-19 22:44:13.179
54.0, 20815.911390294004, 16856.09869433626, 47481.319008030776, 28954.472119149224, 33352.55782038663, -726.5658052642113, 9336.144845026118, -60.34971002932907, 0.0, 0.0, 18396.759736151664, -8765.482457337674, 6323.196747684092, -3206.782425258449, -27312.73648890692, -33037.57703752244, 0.062, 0.002, 1.03, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747687453187244E9, 0.0, 2025-05-19 22:44:13.187
56.0, 20825.20971598741, 16865.687592707585, 47486.37050227768, 28957.981343028707, 33345.584076116575, -763.4014801265574, 9364.799781417822, -50.80551514691295, 0.0, 0.0, 18393.295215761093, -8774.154934186332, 6305.9635527090495, -3245.8979780552363, -27336.854021174197, -33079.3077444205, 0.062, 0.002, 1.03, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747687453194253E9, 0.0, 2025-05-19 22:44:13.194
58.0, 20825.388529943055, 16864.99468862947, 47485.297618543824, 28962.049360519573, 33355.64236112146, -771.448108130468, 9358.116609825684, -79.57221026089314, 0.0, 0.0, 18409.969617124752, -8755.580634543972, 6326.0354192299155, -3204.6366577907397, -27302.253520757382, -33041.82386896895, 0.062, -0.002, 1.034, 192.0, 0.5, 120.0, 127.5, 120.0, 16.0, 40.0, 0.0, 0.0, 0.0, 1.747687453202284E9, 0.0, 2025-05-19 22:44:13.202
60.0, 20819.51002115131, 16858.24446180397, 47479.26264754089, 28951.767558070133, 33334.251741677734, -781.05935824625, 9323.873737320155, -69.22335257808598, 0.0, 0.0, 18395.530390206623, -8773.506733597129, 6313.987828968505, -3240.779428574971, -27341.324370065257, -33069.718846049174, 0.062, -0.002, 1.034, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747687453211296E9, 0.0, 2025-05-19 22:44:13.211
62.0, 20828.830698589172, 16870.5826247433, 47492.427825025065, 28966.854985577465, 33355.731768099286, -769.3693958961244, 9386.391566561648, -76.82294569289037, 0.0, 0.0, 18405.946303122797, -8759.693355523748, 6318.100549948282, -3228.418913891186, -27317.005672097883, -33069.11534894888, 0.062, -0.002, 1.034, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747687453219361E9, 0.0, 2025-05-19 22:44:13.219
64.0, 20820.98523628536, 16859.920842638116, 47485.96817087748, 28958.763654084643, 33356.44702392185, -748.3140526192251, 9320.811548329777, -87.46237605361654, 0.0, 0.0, 18407.421518256848, -8760.654480535326, 6331.913928021661, -3207.6317915477507, -27308.936692349518, -33044.01433992557, 0.062, -0.002, 1.034, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747687453226398E9, 0.0, 2025-05-19 22:44:13.226
